"ML-Ready Dataset — For Use with Linear Regression, GBT, and SVR",,,,,,,,,,
"AY Start
(Feature)","AY End
(Feature)","Sector
(Label)","Sector
Encoded","Region
(Label)","Region
Encoded","SHS
Available","Total
Elementary","Total
High School","Total
Senior HS","Total
Students (TARGET)"
2016,2017,Public,0,Region II - Cagayan Valley,5,1,"492,695","205,491","31,517","729,703"
2016,2017,Public,0,Region III - Central Luzon,6,1,"1,478,061","663,906","75,830","2,217,797"
2016,2017,Public,0,Region IV-A - CALABARZON,7,1,"1,831,540","819,958","75,896","2,727,394"
2016,2017,Public,0,Region IV-B - MIMAROPA,8,1,"513,955","217,082","30,741","761,778"
2016,2017,Public,0,Region V - Bicol Region,10,1,"1,027,214","452,526","65,459","1,545,199"
2016,2017,Public,0,Region VI - Western Visayas,11,1,"1,130,395","502,730","79,320","1,712,445"
2016,2017,Public,0,Region VII - Central Visayas,12,1,"1,120,882","482,586","57,360","1,660,828"
2016,2017,Public,0,Region VIII - Eastern Visayas,13,1,"735,399","335,245","52,394","1,123,038"
2016,2017,Public,0,Region IX - Zamboanga Peninsula,9,1,"618,851","239,965","24,715","883,531"
2016,2017,Public,0,Region X - Northern Mindanao,14,1,"744,665","264,074","35,610","1,044,349"
2016,2017,Public,0,Region XI - Davao Region,15,1,"756,948","301,222","30,075","1,088,245"
2016,2017,Public,0,Region XII - Soccsksargen,16,1,"720,020","274,267","38,984","1,033,271"
2016,2017,Public,0,CARAGA - CARAGA,2,1,"447,517","185,696","23,074","656,287"
2016,2017,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,"603,455","138,261","14,307","756,023"
2016,2017,Public,0,CAR - Cordillera Administrative Region,1,1,"231,438","95,712","10,811","337,961"
2016,2017,Public,0,NCR - National Capital Region,3,1,"1,305,754","673,924","34,263","2,013,941"
2017,2018,Public,0,Region I - Ilocos Region,4,1,"672,026","332,205","100,980","1,105,211"
2017,2018,Public,0,Region II - Cagayan Valley,5,1,"490,491","211,445","61,394","763,330"
2017,2018,Public,0,Region III - Central Luzon,6,1,"1,472,116","675,581","140,422","2,288,119"
2017,2018,Public,0,Region IV-A - CALABARZON,7,1,"1,838,596","848,434","145,547","2,832,577"
2017,2018,Public,0,Region IV-B - MIMAROPA,8,1,"504,783","227,871","57,276","789,930"
2017,2018,Public,0,Region V - Bicol Region,10,1,"999,895","478,451","126,943","1,605,289"
2017,2018,Public,0,Region VI - Western Visayas,11,1,"1,109,513","526,919","147,356","1,783,788"
2017,2018,Public,0,Region VII - Central Visayas,12,1,"1,102,318","500,753","118,073","1,721,144"
2017,2018,Public,0,Region VIII - Eastern Visayas,13,1,"717,578","349,000","95,907","1,162,485"
2017,2018,Public,0,Region IX - Zamboanga Peninsula,9,1,"603,658","257,690","47,582","908,930"
2017,2018,Public,0,Region X - Northern Mindanao,14,1,"738,254","280,185","62,974","1,081,413"
2017,2018,Public,0,Region XI - Davao Region,15,1,"746,070","322,283","57,620","1,125,973"
2017,2018,Public,0,Region XII - Soccsksargen,16,1,"714,246","290,838","69,644","1,074,728"
2017,2018,Public,0,CARAGA - CARAGA,2,1,"439,641","196,235","46,806","682,682"
2017,2018,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,"582,260","135,163","26,400","743,823"
2017,2018,Public,0,CAR - Cordillera Administrative Region,1,1,"226,127","97,487","20,423","344,037"
2017,2018,Public,0,NCR - National Capital Region,3,1,"1,279,788","678,787","69,795","2,028,370"
2018,2019,Public,0,Region I - Ilocos Region,4,1,"663,211","346,265","112,032","1,121,508"
2018,2019,Public,0,Region II - Cagayan Valley,5,1,"490,556","224,708","69,410","784,674"
2018,2019,Public,0,Region III - Central Luzon,6,1,"1,476,123","706,740","158,236","2,341,099"
2018,2019,Public,0,Region IV-A - CALABARZON,7,1,"1,845,363","906,146","165,400","2,916,909"
2018,2019,Public,0,Region IV-B - MIMAROPA,8,1,"498,053","239,905","64,390","802,348"
2018,2019,Public,0,Region V - Bicol Region,10,1,"965,968","514,971","145,237","1,626,176"
2018,2019,Public,0,Region VI - Western Visayas,11,1,"1,075,565","574,057","160,311","1,809,933"
2018,2019,Public,0,Region VII - Central Visayas,12,1,"1,074,158","548,666","135,113","1,757,937"
2018,2019,Public,0,Region VIII - Eastern Visayas,13,1,"700,670","365,901","108,129","1,174,700"
2018,2019,Public,0,Region IX - Zamboanga Peninsula,9,1,"588,948","286,008","60,522","935,478"
2018,2019,Public,0,Region X - Northern Mindanao,14,1,"732,305","307,911","72,542","1,112,758"
2018,2019,Public,0,Region XI - Davao Region,15,1,"729,479","353,185","72,351","1,155,015"
2018,2019,Public,0,Region XII - Soccsksargen,16,1,"707,926","313,220","80,825","1,101,971"
2018,2019,Public,0,CARAGA - CARAGA,2,1,"435,975","208,197","56,735","700,907"
2018,2019,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,"585,548","144,234","28,422","758,204"
2018,2019,Public,0,CAR - Cordillera Administrative Region,1,1,"223,420","102,295","24,149","349,864"
2018,2019,Public,0,NCR - National Capital Region,3,1,"1,270,337","697,840","85,833","2,054,010"
2019,2020,Public,0,Region I - Ilocos Region,4,1,"637,338","353,471","120,661","1,111,470"
2019,2020,Public,0,Region II - Cagayan Valley,5,1,"476,909","231,981","76,346","785,236"
2019,2020,Public,0,Region III - Central Luzon,6,1,"1,440,188","728,337","172,365","2,340,890"
2019,2020,Public,0,Region IV-A - CALABARZON,7,1,"1,819,152","937,290","180,695","2,937,137"
2019,2020,Public,0,Region IV-B - MIMAROPA,8,1,"488,304","243,091","72,400","803,795"
2019,2020,Public,0,Region V - Bicol Region,10,1,"942,422","514,819","156,663","1,613,904"
2019,2020,Public,0,Region VI - Western Visayas,11,1,"1,036,793","585,986","176,521","1,799,300"
2019,2020,Public,0,Region VII - Central Visayas,12,1,"1,050,085","555,366","151,009","1,756,460"
2019,2020,Public,0,Region VIII - Eastern Visayas,13,1,"679,646","369,163","120,341","1,169,150"
2019,2020,Public,0,Region IX - Zamboanga Peninsula,9,1,"578,799","292,964","70,183","941,946"
2019,2020,Public,0,Region X - Northern Mindanao,14,1,"720,872","321,667","81,394","1,123,933"
2019,2020,Public,0,Region XI - Davao Region,15,1,"711,299","366,436","80,445","1,158,180"
2019,2020,Public,0,Region XII - Soccsksargen,16,1,"692,812","327,446","88,112","1,108,370"
2019,2020,Public,0,CARAGA - CARAGA,2,1,"427,151","212,274","62,881","702,306"
2019,2020,Public,0,BARMM - Bangsamoro Autonomous Region in Muslim Mindanao,0,1,"582,686","154,760","33,911","771,357"
2019,2020,Public,0,CAR - Cordillera Administrative Region,1,1,"215,533","103,167","26,664","345,364"
2019,2020,Public,0,NCR - National Capital Region,3,1,"1,243,679","704,215","96,227","2,044,121"
2020,2021,Public,0,Region I - Ilocos Region,4,1,"642,888","362,567","134,111","1,139,566"
2020,2021,Public,0,Region II - Cagayan Valley,5,1,"483,249","247,604","87,035","817,888"
2020,2021,Public,0,Region III - Central Luzon,6,1,"1,446,404","746,367","200,235","2,393,006"
2020,2021,Public,0,Region IV-A - CALABARZON,7,1,"1,829,632","955,285","206,990","2,991,907"
2020,2021,Public,0,Region IV-B - MIMAROPA,8,1,"487,659","242,107","81,483","811,249"
2020,2021,Public,0,Region V - Bicol Region,10,1,"902,169","466,447","153,851","1,522,467"
